에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(g),Cluster
401.93,76.84,14.47,4.08,0.0,0.88409,1
115.04,16.69,5.83,2.77,1.58,0.59073,2
347.37,14.38,24.2,21.45,0.11,0.39527999999999996,3
464.46,66.06,22.3,12.34,12.52,1.44606,4
276.31,8.69,31.46,12.86,4.77,0.4925,5
142.98,9.88,19.17,2.97,4.0,1.16818,6
593.0,44.02,27.91,33.92,4.15,0.77927,7
949.76,79.22,44.3,50.63,9.3,0.81984,제육덮밥
825.15,141.85,22.11,18.81,0.3,1.24722,잡채밥
239.21,27.04,15.83,7.53,0.0,1.39224,쇠머리국밥
1233.32,143.42,60.34,46.47,1.46,1.62451,돼지머리국밥
536.94,29.4,34.53,31.25,21.26,3.0972,장어탕
728.09,36.46,56.99,39.37,21.45,1.90356,오리탕
737.25,61.59,35.16,38.91,1.05,1.43559,부대찌개
423.97,10.08,34.9,27.12,0.32,1.2947899999999999,내장탕
375.69,12.03,33.43,21.54,0.0,1.73985,감자탕
604.84,4.27,49.36,43.37,0.0,0.5167,꽁치구이
679.62,7.57,46.75,51.37,0.0,0.25252,고등어석쇠구이
551.8,0.4,47.65,39.95,0.45,1.21,고등어구이
740.27,10.56,68.9,46.94,13.13,1.62876,간장양념닭다리구이
872.3,26.52,89.1,45.54,0.0,2.55309,닭구이
881.09,10.43,84.72,55.61,14.43,2.21165,돼지갈비구이
707.64,51.71,56.23,30.65,0.39,0.90615,치킨데리야끼
586.08,9.77,48.12,39.39,0.0,1.41666,오리고기구이
722.95,4.76,77.73,43.66,0.78,1.20466,쇠갈비구이
933.52,0.69,45.11,83.37,0.0,1.15279,삼겹살구이
805.66,25.25,28.42,65.66,11.45,1.02067,삼겹살고추장구이
741.26,111.04,29.04,20.11,14.21,0.49545999999999996,회냉면
651.57,71.37,31.2,26.81,1.95,0.53223,콩국수
706.96,127.91,17.68,13.84,19.32,1.37701,쫄면
310.2,56.34,13.53,3.41,0.3,1.5145899999999999,잔치국수
1264.19,243.83,14.27,25.75,0.14,1.25292,우동(일식)
898.82,88.08,36.7,44.41,4.45,1.08914,미트볼 토마토 스파게티
221.87,42.21,10.98,1.01,0.0,0.67936,메밀국수
799.33,143.37,34.81,9.63,29.28,2.42715,막국수
625.08,75.67,25.59,24.45,4.28,2.27622,간짜장
515.29,114.11,6.24,3.76,3.94,0.5379700000000001,채소떡볶이
121.88,7.12,8.33,6.68,1.83,0.47974,참치 김치볶음
487.98,11.82,30.37,35.47,0.94,1.25193,제육볶음
543.39,5.4,33.24,43.2,8.16,0.56262,쇠고기볶음
401.83,21.13,23.04,25.02,7.32,1.76673,햄채소볶음
388.96,19.84,38.12,17.46,15.33,0.7962,돼지고기채소볶음
558.83,23.8,41.93,32.88,2.32,1.01389,닭볶음
911.39,34.57,96.09,43.19,4.03,0.7366699999999999,삼계탕
330.4,13.01,48.8,9.24,1.93,1.10506,닭곰탕
509.46,89.71,14.1,10.47,1.58,1.98158,순댓국
363.24,2.68,57.0,13.83,0.77,1.33059,갈비탕
606.93,62.6,26.19,27.97,0.44,2.3332100000000002,사골만두국
666.99,92.83,21.18,23.44,0.07,1.23689,떡만두국
588.01,114.57,24.01,3.74,0.57,1.2340499999999999,떡국
463.93,22.57,33.75,26.52,8.98,0.8148,등심돈까스
450.09,45.04,23.68,19.47,7.95,1.30486,닭강정
344.54,27.42,18.89,17.7,4.6,0.61556,깐풍기
232.79,26.03,13.29,8.39,12.87,0.98454,새우탕수육
358.97,24.84,27.21,16.75,19.08,0.8146599999999999,탕수육
755.37,41.76,42.02,46.69,3.57,0.8707699999999999,치즈돈가스
209.74,7.59,16.45,12.62,5.09,0.52351,달걀찜(우유)
192.87,13.93,24.06,4.55,2.06,1.47219,꼬막찜
204.63,0.92,43.98,2.78,0.11,0.30221,가오리찜
116.3,0.93,9.96,8.08,0.0,0.49375,달걀찜(새우젓)
320.01,1.8,37.1,18.27,0.0,0.6730700000000001,닭찜
111.2,9.93,13.33,2.02,0.0,0.44645,해물콩나물찜
188.69,12.15,28.97,2.69,5.0,1.2406400000000002,코다리찜
582.68,2.32,65.09,34.78,0.0,0.8614700000000001,족발
168.18,14.52,13.44,6.26,5.46,0.7831,아귀찜
410.53,78.6,6.04,8.0,3.06,1.32797,순대
498.92,6.11,85.29,14.81,0.33,0.09181,쇠고기수육
328.77,11.0,36.3,15.51,0.4,0.90534,쇠고기사태찜
256.01,20.85,21.75,9.51,2.24,0.8169,쇠갈비찜
936.89,7.05,59.65,74.46,7.21,0.12128,돼지고기 수육
581.39,22.33,39.86,36.96,0.39,1.4325899999999998,돼지갈비찜
141.01,4.1,11.25,8.84,3.39,0.38956999999999997,고등어조림
127.65,4.64,15.93,5.04,5.35,1.16912,건갈치조림
100.82,6.16,12.72,2.81,6.29,0.56755,갈치조림
243.51,5.14,15.52,17.87,4.05,0.34967000000000004,꽁치조림
379.87,33.13,22.79,17.36,5.09,0.72424,닭고추장조림
294.79,9.86,27.05,16.35,0.75,0.70501,닭조림
86.06,4.16,16.46,0.4,3.67,0.46552,코다리조림
65.31,9.09,5.76,0.66,2.2,0.71057,양미리조림
124.64,2.61,15.88,5.63,2.03,0.44101,삼치조림
112.38,4.87,12.46,4.78,0.22,0.84221,병어조림
331.41,19.42,27.23,16.09,15.78,0.47237,미트볼조림
195.06,12.18,14.9,9.64,7.93,0.62701,육회
